Short Name,Long Name,Base Price,Current Price,Number of Days,Average Rating,Number of Reviews,List of Images,Link
Khách sạn tại Phường 2,Kim Quỳnh House 3,1141177,1141177,2,5.0,41,https://a0.muscache.com/im/pictures/hosting/Hosting-1212216029920237206/original/45a457af-31f2-4c1f-b514-a1e0a447a9d9.jpeg,https://www.airbnb.com.vn/rooms/1332344380998534064
Căn hộ tại Phường 2,Căn hộ 3 phòng ngủ - Căn hộ hiện đại có bãi đỗ xe,1959535,1959535,2,4.77,62,https://a0.muscache.com/im/pictures/miso/Hosting-548984486425514499/original/5f26dd5f-70af-4d9f-ae85-bd989b7a5ce7.jpeg,https://www.airbnb.com.vn/rooms/548984486425514499
Phòng tại Phường 1,Lati May Dalat (Quartus),1483530,1483530,2,5.0,42,https://a0.muscache.com/im/pictures/0f3ac5e8-5eb7-4616-a033-c27d3c7c92c8.jpg,https://www.airbnb.com.vn/rooms/1038161371291367701
Nhà nghỉ nông trại tại Dalat,Nguyên căn Dalaha Retreat,4336473,4336473,2,4.86,14,https://a0.muscache.com/im/pictures/miso/Hosting-1051109769818750003/original/12824c80-813a-4353-b103-cd86cd8cf7e8.jpeg,https://www.airbnb.com.vn/rooms/1051109769818750003
Nhà tại Dalat,Nhà gỗ 3 phòng ngủ 5 phút để đến chợ,5619769,5619769,2,4.88,17,https://a0.muscache.com/im/pictures/miso/Hosting-917247109521657914/original/b4901d86-d1fb-4481-b8b1-123e116148a3.jpeg,https://www.airbnb.com.vn/rooms/917247109521657914
Phòng tại Dalat,Căn hộ hướng núi rộng rãi Retreat,3559797,3559797,2,4.76,17,https://a0.muscache.com/im/pictures/033f23e1-6684-46dd-81f7-683fb64b1d45.jpg,https://www.airbnb.com.vn/rooms/967170056632007237
Phòng tại Phường 1,Ấm Homestay nguyên tầng 3 phòng,2282354,2282354,2,5.0,9,https://a0.muscache.com/im/pictures/miso/Hosting-1239577180356992761/original/b45d3fe6-5bc3-40cd-af69-d0f93c491baa.jpeg,https://www.airbnb.com.vn/rooms/1254141856224422565
Phòng tại Dalat,"Family Forest Suite |Bồn tắm, bếp, ban công lớn",3912882,3521594,2,4.5,4,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM1MzQwODQ5ODM1NDA4ODU2Ng==/original/e943b218-5dfa-4944-9802-edce5dce9d66.jpeg,https://www.airbnb.com.vn/rooms/1353408498354088566
Phòng tại Dalat,Mèo Mận~Ban công~Dùng chung nhà vệ sinh~Không thích hợp cho trẻ em,1072706,1072706,2,5.0,10,https://a0.muscache.com/im/pictures/hosting/Hosting-1173404542193868583/original/5f708fab-6721-4d50-a68c-80d67456569f.jpeg,https://www.airbnb.com.vn/rooms/1173404542193868583
Căn hộ tại Phường 1,Căn hộ 1 phòng ngủ/Trung tâm/5 phút đến hồ/2 phút đến chợ,2719760,2719760,2,4.72,78,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjkxNjI5MTM=/original/d14d5693-96ee-486e-b4c3-862566f356fe.jpeg,https://www.airbnb.com.vn/rooms/29162913
Căn hộ tại Dalat,Căn hộ Penthouse trên tầng cao nhất riêng | Tầm nhìn ra rừng tuyệt đẹp,6120000,6120000,2,4.64,28,https://a0.muscache.com/im/pictures/hosting/Hosting-1252707096363525512/original/97fb7bcd-25f7-452f-bebb-c98a96440a5c.jpeg,https://www.airbnb.com.vn/rooms/1252707096363525512
Căn hộ tại Dalat,Gia Hạ House (R2.2)_View Thung Lũng-Núi,1709483,1709483,2,4.91,184,https://a0.muscache.com/im/pictures/fdeaeb5f-02c4-4343-9d32-f4464744152d.jpg,https://www.airbnb.com.vn/rooms/38150588
Nhà tại Dalat,Envy Dalat - home sân vườn,3164061,3164061,2,4.88,26,https://a0.muscache.com/im/pictures/hosting/Hosting-1149852181500806941/original/2ab48367-5603-4c1a-a80f-03a499b6f65d.jpeg,https://www.airbnb.com.vn/rooms/1149852181500806941
Phòng tại Dalat,Phòng tối giản trên núi 2 | Tầm nhìn ra mây và hoàng hôn,1471335,1314504,2,4.94,54,https://a0.muscache.com/im/pictures/miso/Hosting-966487158091433212/original/9d5e8a9c-554d-4174-88d7-f6caddce7b0d.jpeg,https://www.airbnb.com.vn/rooms/966487158091433212
Căn hộ tại Dalat,Dalat Mint Homestay 2,1940001,1940001,2,4.82,100,https://a0.muscache.com/im/pictures/ef6fcffe-1f34-4091-b99f-f49f5d9a3e91.jpg,https://www.airbnb.com.vn/rooms/37334395
Nhà phố tại Dalat,South Of The border - Phia Nam Biên Gioi,3742243,3742243,2,4.77,274,https://a0.muscache.com/im/pictures/35c00514-0d38-4287-8c4a-8b7f1714bade.jpg,https://www.airbnb.com.vn/rooms/40317627
Biệt thự tại Việt Nam,Nơi ẩn náu trong nhà Tinghouse,3440649,3440649,2,4.85,40,https://a0.muscache.com/im/pictures/e9d4d710-1b49-4a2d-95d2-560be0d30856.jpg,https://www.airbnb.com.vn/rooms/45105089
Biệt thự tại Dalat,"Full house 4 phòng ngủ, trung tâm thành phố Đà Lạt, tầm nhìn ra đồi núi",11754123,11754123,2,4.93,15,https://a0.muscache.com/im/pictures/hosting/Hosting-1303972713869231076/original/f722ebff-6152-4303-9616-10971fa3ae84.jpeg,https://www.airbnb.com.vn/rooms/1303972713869231076
Căn hộ tại Phường 1,39 Uchi - Căn Hộ Trung Tâm Thành Phố Đà Lạt 2BR,2364105,1899221,2,4.75,40,https://a0.muscache.com/im/pictures/miso/Hosting-1217154875373241975/original/ce20ab22-bcbe-4f85-a825-abaf74f1694a.jpeg,https://www.airbnb.com.vn/rooms/1217154875373241975
Phòng tại Dalat,Căn hộ Pine Valley View | Ban công thư giãn + Bồn tắm,3406460,3065814,2,4.88,16,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM1MzQwMzQ3OTk2NzEzNDQzMA==/original/6b8cad27-ca4b-4fb3-9787-d46ffe5518c6.jpeg,https://www.airbnb.com.vn/rooms/1353403479967134430
Nhà tại Dalat,2 phòng ngủ - căn nhà gỗ xinh xắn trung tâm Đà Lạt,1936577,1936577,2,4.59,34,https://a0.muscache.com/im/pictures/miso/Hosting-704828817108021980/original/b4c7c2e3-37c9-4f7b-9b45-bae6dce71a46.jpeg,https://www.airbnb.com.vn/rooms/704828817108021980
Phòng tại Phường 1,Lati May Dalat (Tertius),867295,867295,2,4.96,45,https://a0.muscache.com/im/pictures/aa7efeeb-edc8-48c2-bc29-fba9fb6f2e1b.jpg,https://www.airbnb.com.vn/rooms/1017316995195937719
Phòng tại Dalat,Summery - Nhà của Eiji,1483530,1483530,2,4.91,11,https://a0.muscache.com/im/pictures/hosting/Hosting-1351160010056117335/original/7deb326d-e713-4923-ac5d-4a13c1bf1eb0.jpeg,https://www.airbnb.com.vn/rooms/1351160010056117335
Nhà tại Dalat,"Biệt thự L'Ciel - 7 phòng, tầm nhìn ra thành phố và vườn BBQ",11297652,11297652,2,5.0,5,https://a0.muscache.com/im/pictures/hosting/Hosting-1381817350952838364/original/4aaf4cbd-a1fc-4afc-b277-42c8c17b592c.jpeg,https://www.airbnb.com.vn/rooms/1381817350952838364
Nhà tại Dalat,Envy Dalat - home sân vườn,3164061,3164061,2,4.88,26,https://a0.muscache.com/im/pictures/hosting/Hosting-1149852181500806941/original/2ab48367-5603-4c1a-a80f-03a499b6f65d.jpeg,https://www.airbnb.com.vn/rooms/1149852181500806941
Nhà phố tại Dalat,Nhà nguyên căn 3PN Đà Lạt,4107397,4107397,2,4.78,37,https://a0.muscache.com/im/pictures/miso/Hosting-848290309312734357/original/2900bcab-b5eb-46c8-bc8c-10e0ac1a4e6a.jpeg,https://www.airbnb.com.vn/rooms/1007975411892823333
Nơi ở tại Dalat,GÓC PHỐ STUDIO 2,958589,958589,2,4.73,168,https://a0.muscache.com/im/pictures/ed134b90-3133-418a-819c-153388cb246e.jpg,https://www.airbnb.com.vn/rooms/37438854
Căn hộ tại Dalat,Studio trung tâm bên suối nước - tầng một,1027059,1027059,2,4.91,43,https://a0.muscache.com/im/pictures/miso/Hosting-790825543274242749/original/0d70192c-3ea4-4737-b183-b0a31403088a.jpeg,https://www.airbnb.com.vn/rooms/790825543274242749
Biệt thự tại Dalat,Villa săn mây view đẹp siêu đỉnh,5705885,5705885,2,4.73,52,https://a0.muscache.com/im/pictures/48d5c17a-1f15-4290-9118-41bfceb033ba.jpg,https://www.airbnb.com.vn/rooms/966974480803455247
Căn hộ tại Dalat,"Căn hộ hướng rừng, bồn tắm và ban công nhìn ra cây thông",3472647,3472647,2,4.9,10,https://a0.muscache.com/im/pictures/hosting/Hosting-1353640437460779954/original/9bcdfc7a-53af-44b1-b5c5-d0e8e142d7a4.jpeg,https://www.airbnb.com.vn/rooms/1353640437460779954
Bungalow tại Dalat,DreamlakeDalat - Bungalow mộc mạc với bếp và bồn tắm nước nóng,2253413,1613389,2,4.86,77,https://a0.muscache.com/im/pictures/f901dda9-3652-46b6-be94-8a7f596efdb1.jpg,https://www.airbnb.com.vn/rooms/654793965951402986
Phòng tại Dalat,Mèo Đồi~ 2 người ~ Nhà vệ sinh riêng ~Không thích hợp cho trẻ em,1369412,1369412,2,0.0,0,https://a0.muscache.com/im/pictures/miso/Hosting-1174813004934927206/original/ae0fd0dc-c831-4eaa-a371-f81f29cd1f75.jpeg,https://www.airbnb.com.vn/rooms/1384012044984732151
Nhà tại Dalat,The Fairy House. Đà Lạt,4108237,4108237,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1437404998260656679/original/8b984863-c372-4904-b3e6-b87323c47684.jpeg,https://www.airbnb.com.vn/rooms/1437404998260656679
Khách sạn tại Dalat,"Ấm áp , có ban công",1141177,1141177,2,5.0,7,https://a0.muscache.com/im/pictures/hosting/Hosting-1380398503804611845/original/5acfd6f3-bf2a-4a62-a449-9271191161b9.jpeg,https://www.airbnb.com.vn/rooms/1380452946408917146
Phòng tại Dalat,Ly's Home,667765,547765,2,5.0,16,https://a0.muscache.com/im/pictures/hosting/Hosting-1340998650525522452/original/9d3a3255-cdf2-4e18-83a7-b46b1baa42ce.jpeg,https://www.airbnb.com.vn/rooms/1340998650525522452
Biệt thự tại Dalat,Biệt thự Đà Lạt Blanc,5200000,5200000,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQzNjkwMDc0MjA0Mzk3MDQ4Ng==/original/65343b0b-0358-4420-9363-6b787df659c2.jpeg,https://www.airbnb.com.vn/rooms/1436900742043970486
Phòng tại Dalat,Phòng riêng có ban công và tầm nhìn ra thành phố đẹp 3,912942,912942,2,4.9,39,https://a0.muscache.com/im/pictures/70f7ce35-75ab-48c6-8ffe-e2b1534bb7cc.jpg,https://www.airbnb.com.vn/rooms/47001503
Nhà tại Dalat,"Tom's House - 6 phòng, khu vực bbq và trung tâm thành phố",6847062,6847062,2,4.93,27,https://a0.muscache.com/im/pictures/hosting/Hosting-1079313158710401527/original/caccda10-bfd9-4781-9c50-4a22e3a7f145.jpeg,https://www.airbnb.com.vn/rooms/1079313158710401527
Nhà nghỉ dưỡng tại Dalat,Little Forest | CÂY CÀ PHÊ nhà nghỉ dưỡng tuyệt vời,3870000,3870000,2,4.89,82,https://a0.muscache.com/im/pictures/miso/Hosting-579318425692732868/original/31c6fc98-7f55-472c-9eea-9159b2e44557.jpeg,https://www.airbnb.com.vn/rooms/579318425692732868
Nhà tại Dalat,[Nhà đơn giản] 1 pho ̀ ng ngu ̉ cho 2 người có ban công,1437883,1437883,2,5.0,3,https://a0.muscache.com/im/pictures/miso/Hosting-1404764463570089304/original/3c683fa6-cd55-421a-9677-f53ea9cd49da.jpeg,https://www.airbnb.com.vn/rooms/1404764463570089304
Phòng tại Dalat,Phòng đơn 2,890353,730353,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1438379567175456932/original/64a6ca1a-a348-4a60-875d-88710dbd9b11.jpeg,https://www.airbnb.com.vn/rooms/1438379567175456932
Nhà tại Dalat,"Biệt thự kiểu Pháp độc đáo, khu nghỉ dưỡng dành cho gia đình có vườn",5202598,5202598,2,4.85,26,https://a0.muscache.com/im/pictures/hosting/Hosting-1104578277272170296/original/483b5e84-400e-4af6-aef8-030c80fec219.jpeg,https://www.airbnb.com.vn/rooms/1104578277272170296
Nhà tại Dalat,1. Phòng riêng mộc mạc cho gia đình/bạn bè,3659384,3659384,2,4.95,37,https://a0.muscache.com/im/pictures/miso/Hosting-1057172216616698004/original/2bbc8dad-2c69-4785-ae09-a6b6c99f4ded.jpeg,https://www.airbnb.com.vn/rooms/1057172216616698004
Bungalow tại Dalat,DreamlakeDalat - Bungalow mộc mạc với bếp và bồn tắm nước nóng,2253413,1613389,2,4.86,77,https://a0.muscache.com/im/pictures/f901dda9-3652-46b6-be94-8a7f596efdb1.jpg,https://www.airbnb.com.vn/rooms/654793965951402986
Biệt thự tại Dalat,Villa săn mây view đẹp siêu đỉnh,5705885,5705885,2,4.73,52,https://a0.muscache.com/im/pictures/48d5c17a-1f15-4290-9118-41bfceb033ba.jpg,https://www.airbnb.com.vn/rooms/966974480803455247
Khách sạn tại Dalat,Nhà dì của bạn - phòng gia đình,2738825,2738825,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1393077735516799751/original/8dd3aa48-8f4f-4028-b30d-46875de32649.jpeg,https://www.airbnb.com.vn/rooms/1402274679546921216
Nơi ở tại Dalat,Phòng Lò sưởi hồng,1825883,1825883,2,4.82,17,https://a0.muscache.com/im/pictures/miso/Hosting-1103219056408798706/original/23e6c4e5-4c21-443b-9dce-fb962341647c.jpeg,https://www.airbnb.com.vn/rooms/1103219056408798706
Phòng tại Dalat,Mèo Đồi~ 4 người ~ Nhà vệ sinh riêng ~ Không thích hợp cho trẻ em,1666118,1666118,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE3NDgxMzAwNDkzNDkyNzIwNg%3D%3D/original/e6a09ccb-83fd-4174-9ee5-378a98f92220.jpeg,https://www.airbnb.com.vn/rooms/1174813004934927206
Căn hộ tại Dalat,Mùa Chanh Vàng - Căn hộ ấm cúng cho 4 - 5 khách,2341484,2341484,2,5.0,6,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI2Nzc0MDcxODYzNDk1NDMyMg==/original/7032a0cf-fdaa-48aa-898d-23fcec62e6bc.jpeg,https://www.airbnb.com.vn/rooms/1267740718634954322
Nhà tại Dalat,Nhà Hạc,1878491,1878491,2,4.8,35,https://a0.muscache.com/im/pictures/c9575be2-1c80-42ef-a948-5c81bf9c254f.jpg,https://www.airbnb.com.vn/rooms/864231511950062800
Nhà tại Dalat,Villa Nguyên căn Cổ điển,5705886,5705886,2,4.81,21,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTEzODI2MDk0MTg3MjI3MTgzNQ%3D%3D/original/841242b0-160a-4c43-a9b2-88b3191d271c.jpeg,https://www.airbnb.com.vn/rooms/1138260941872271835
Nhà tại Dalat,[Nhà đơn giản] 1 pho ̀ ng ngu ̉ cho 2 người có ban công,1437883,1437883,2,5.0,3,https://a0.muscache.com/im/pictures/miso/Hosting-1404764463570089304/original/3c683fa6-cd55-421a-9677-f53ea9cd49da.jpeg,https://www.airbnb.com.vn/rooms/1404764463570089304
Phòng tại Dalat,Phòng riêng có ban công và tầm nhìn ra thành phố đẹp 4,912942,912942,2,4.74,54,https://a0.muscache.com/im/pictures/70f7ce35-75ab-48c6-8ffe-e2b1534bb7cc.jpg,https://www.airbnb.com.vn/rooms/46118076
Nơi ở tại Dalat,Thung lũng Emai & Nhà hàng | Phòng II: Minuet,3300000,3300000,2,5.0,13,https://a0.muscache.com/im/pictures/miso/Hosting-880778684392616916/original/900a8517-b7e6-4792-9e58-ba33b8b3c28d.jpeg,https://www.airbnb.com.vn/rooms/880778684392616916
Nhà phố tại Dalat,Full house gần Hồ Xuân Hà,2997514,2272604,2,5.0,8,https://a0.muscache.com/im/pictures/hosting/Hosting-1359684441338208719/original/29f41f28-2506-41a5-b71f-a22eb6876c51.jpeg,https://www.airbnb.com.vn/rooms/1359684441338208719
Nhà tại Dalat,Little Thảo Điền ở Đà Lạt homestay,3407713,2670354,2,4.58,33,https://a0.muscache.com/im/pictures/miso/Hosting-709025250330381149/original/04f910f7-5b59-4f29-b7ff-1eb6dedbfa4f.jpeg,https://www.airbnb.com.vn/rooms/709025250330381149
Phòng tại Dalat,Nghỉ dưỡng gần gũi với thiên nhiên với bữa sáng tự làm tươi ngon,2283495,2283495,2,4.9,69,https://a0.muscache.com/im/pictures/6df6d076-1f89-4a45-a61a-1c0047130c05.jpg,https://www.airbnb.com.vn/rooms/29199519
Khách sạn tại Dalat,Rosaline - Phòng kiểu Paris - Trung tâm thành phố,769500,769500,2,4.88,32,https://a0.muscache.com/im/pictures/miso/Hosting-1139634456911968873/original/6a4ef8ab-4db8-4610-bcf2-28c71536a779.jpeg,https://www.airbnb.com.vn/rooms/1139634456911968873
Phòng tại Dalat,Phòng ban công view đồi thông Pine Tree  Đà Lạt,1138895,1138895,2,5.0,5,https://a0.muscache.com/im/pictures/miso/Hosting-1404176847430175907/original/5d828c88-4061-496a-b9c2-98765d0ecba1.jpeg,https://www.airbnb.com.vn/rooms/1404176847430175907
Nhà tại Dalat,Kén villa 5PN Đà Lạt,6162356,6162356,2,5.0,4,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMyNDM3Mjc1NDYyNzM4NjIwMA%3D%3D/original/7bf994bb-9a95-42fb-b259-e46af6f784ad.jpeg,https://www.airbnb.com.vn/rooms/1324372754627386200
